category,polarity,count
Akses dan manfaat beasiswa,negative,65
Akses dan manfaat beasiswa,neutral,105
Akses dan manfaat beasiswa,positive,104
Kontroversi penerima beasiswa,negative,494
Kontroversi penerima beasiswa,neutral,200
Kontroversi penerima beasiswa,positive,64
Pendanaan dan anggaran,negative,356
Pendanaan dan anggaran,neutral,394
Pendanaan dan anggaran,positive,448
Pengabdian dan kontribusi alumni,negative,323
Pengabdian dan kontribusi alumni,neutral,253
Pengabdian dan kontribusi alumni,positive,241
Pengawasan dan sanksi,negative,279
Pengawasan dan sanksi,neutral,127
Pengawasan dan sanksi,positive,90
Seleksi dan pendaftaran,negative,708
Seleksi dan pendaftaran,neutral,829
Seleksi dan pendaftaran,positive,520
Tata kelola dan transparansi,negative,69
Tata kelola dan transparansi,neutral,58
Tata kelola dan transparansi,positive,59
